"STRid","correlation"
"VIVAX_STR_188",0.00610171055515185
"VIVAX_STR_189",0.0107045412579029
"VIVAX_STR_190",0.0391732340484455
"VIVAX_STR_191",0.0117514593163126
"VIVAX_STR_192",-Inf
"VIVAX_STR_193",0.00890411109026109
"VIVAX_STR_194",-Inf
"VIVAX_STR_196",-Inf
"VIVAX_STR_197",-Inf
"VIVAX_STR_198",0.0088764621897152
"VIVAX_STR_199",0.00756828874118
"VIVAX_STR_200",0.0161895878534187
"VIVAX_STR_201",-Inf
"VIVAX_STR_204",0.0178398341599394
"VIVAX_STR_205",0.0109932586172402
"VIVAX_STR_206",-Inf
"VIVAX_STR_207",0.00959038707842559
"VIVAX_STR_208",0.0311463677700822
"VIVAX_STR_209",0.0165016917443125
"VIVAX_STR_210",0.0372076541459957
"VIVAX_STR_212",-Inf
"VIVAX_STR_214",-Inf
"VIVAX_STR_215",0.0145129434289484
"VIVAX_STR_216",-Inf
"VIVAX_STR_217",0.0313105102095599
"VIVAX_STR_219",0.0135753157036112
"VIVAX_STR_220",0.00169270946401861
"VIVAX_STR_221",0.00541113737388854
"VIVAX_STR_222",0.0231469687390825
"VIVAX_STR_224",-Inf
"VIVAX_STR_225",0.00248153474160358
"VIVAX_STR_226",0.00151831630548194
"VIVAX_STR_227",-Inf
"VIVAX_STR_228",0.0157333876175433
"VIVAX_STR_230",-Inf
"VIVAX_STR_231",-Inf
"VIVAX_STR_232",0.00444062008265982
"VIVAX_STR_233",-Inf
"VIVAX_STR_234",-Inf
"VIVAX_STR_235",0.032539587029204
"VIVAX_STR_236",-Inf
"VIVAX_STR_237",-Inf
"VIVAX_STR_238",0.00495221198179588
"VIVAX_STR_240",0.00344995197262206
"VIVAX_STR_241",0.00651120008822711
"VIVAX_STR_242",-Inf
"VIVAX_STR_243",0.00377450980392157
"VIVAX_STR_244",0.0192275638939397
"VIVAX_STR_245",-Inf
"VIVAX_STR_246",0.00682982701818859
"VIVAX_STR_247",0.0120848175155256
"VIVAX_STR_248",0.00982954898020553
"VIVAX_STR_249",-Inf
"VIVAX_STR_250",0.014677643486892
"VIVAX_STR_251",0.0134453781512605
"VIVAX_STR_253",0.0367320182639848
"VIVAX_STR_256",0.00811810481482075
"VIVAX_STR_257",0.00780625099647185
"VIVAX_STR_258",0.0159743774552154
"VIVAX_STR_259",-Inf
"VIVAX_STR_261",0.0170338778466243
"VIVAX_STR_262",0.00231994849923554
"VIVAX_STR_263",-Inf
"VIVAX_STR_264",0.0195585898666848
"VIVAX_STR_265",-Inf
"VIVAX_STR_267",0.0166144856543935
"VIVAX_STR_270",-Inf
"VIVAX_STR_273",0.0211186938898003
"VIVAX_STR_274",0.0071702133786391
